,dataset,ensemble,alpha,threshold,Labels,Time,n_clusters,real_n,accuracy,F1_score
0,cancer,GMM_MCA,complete,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",39.704052448272705,2,2,0.3409490333919156,0.254259501965924
1,cancer,GMM_Voting,complete,0,"[ 6 20  6  2  6  5  6 21  5  5  0  0 10  0  5 21  0  0 20  5  1  7  0 20
 20 10 21 10  0 10  6 21 10  6  0  0 19  1 21  5  5  9  6 21  5  6  7  5
  2  5  9  5  2 10  0  9 20  0  1  7  7  7 21  7 21 21  7 14  7  1  6  7
  6 19  1  0  1  6  6  1  9  1 20 10  2  6 19  6  1 19 19 19 21  5  0  6
  9  7  9 19 21  7  2  7  7 21  9  2 20  9  7  2  5  7  7  2  7  0  0 10
  9  6 20 21  1  5 21  6 19  6  2  0  0  0  6  1  2 14  0 14  7  0  9  1
 14  9  2 19 19  5  1  7  7 14  5  2 10  0  2 14  2  6 20  2 20 19 14  0
  6 19  2 21  0 14 14  7  7  0  1  1  6 20  0 14  0 14 10  9  9  2 21  1
  7  5 19  1 19 10  6  0  1 10 20  0  1  0  7  0  1  0  6  2  6  0 19  5
  2  7 20 20  5  5  7  0  5 21  7 19  1  5  0 14 14  6  7  5 20  6 19 10
  5  2 14  5  0  7  1  1 14  9 20  9  6  0  6 19  6  0  0  0  6  0 10  0
 10  6 14  5  1 14  5 14 20  7 10  9 14 10  5  5  6  2  6  0  1  1  2  1
 14 14 19 19  1  9  1  5 14  2 19  7 20  2  6  7  9 14  1  7  5  5  9 19
  1 14  7  2  2 10  7  2  7  6  1 20  1  1  5  2  0  0  0  1 14 14  2 10
  1  6  7 20 19  7 14  6  9  7  2 19 14  9  2  0  6  0 14  2  1  5  7  7
  1  1  1  0  5  6  6  1  6 20  0 19  6 20  5  0  7  5  5 14 14 14  9  1
  1 19  2  5 14 10  7  7  0 20  2  5  5  1 14  2 10  2  1  1  2 14  0  1
 10  1  9 14  7 19  0  9  7  6  1 14  9 19 14  5  7  7 14 14 14  1 19  2
  6  6 19 21  1  5  5  5 14 10  5  7 10  9 10 19 19 20  9  0  2 19  1  5
  9  1  1  7  6 20 21  9  5  5  5  7 10  9  7  2 19  2 14  1 19  5 14  0
  2 19  5  5 19  1 19  6  2  0  1 10 10  2  1 19  1  1  6  6 19 19  2 20
  7  7  2 14  0  0  9 19 21 19  0 14 10  6  1  1  7 20 14  5  7  7  5  2
  5  2  2  2  5  6 14  6  5  9  7  7 14 19 19  1  5  5  7  7  7 14 14 14
  1  7  1  7  7  7 21 14  5 14  0  6 20  6  0  6  7]",2.125168561935425,12,2,0.20738137082601055,0.0582434942624516
2,cancer,GMM_Pair,complete,0,"[17 17 14 15 14 18  0 12 21 18  9  9  9 11 21 12  9  9 17 21  3  4 11  8
 20  9 12  9  9  9 14 12  9 14  9  9 10  3  7 18 21  5 14 12 21  0  4 21
 13 18  5 21 13  9  9  5 20  6  3  4  4  4 12  4 12 12  4  5  4  3 14  4
  0 10  3  9  3  0 14  2  5  3  8  9 13 14  1 14  3 10  1  1 12 18  9 14
  5  4  5  1 12  4 15  4  4 12  5 13  8  5  4 15 18  4  4 13  4  9  9  9
  5  0  8  7  3 18 12  0 10 14 15  9  9 11  0  3 15  5  6  5  4  9  5  2
  5  5 15  1 10 21  3  4  4  5 18 19  9  9 19  5 15  0 20 15  8  1  4  9
 14  1 15 12  9  4  4  4  4  9  2  3  8 17  9  5 11  4  9  5  5 19  7  3
  4 18 10  3 10  9 14  6  3  9  8  9 16 11  4  9  2 11 14 13  8  9 10 18
 19  4 20 17 21 18  4  9 18 12  4  1  3 18  9  5  5 14  4 18  8 14 10  9
 18 13  5 21  0  4  3  3  5  5 17  5 14  9 17 10 14 11  9  9 14  9  9  9
  9  8  4 18  3  4 21  5  8  4  9  5  5  9 21 18 14 19 14  9  3  3 19  3
  5  5 10  1  3  5  3 18  4 15  1  4 20 15 14  4  5  5  2  4 18 21  5  1
  3  5  4 19 19  9  4 19  4 14  3 14  3  3 18 15  9  9  9  3  5  5 15  9
  2 14  4  8  1  4  5 14  5  4 19  1  5  5 19 11  8  9  5 13  3 18  4  4
  3  3  3  9 21 14 14  2  8  8  9 12 14 17 21 11  4 21 18  5  5  5  5  3
  3 10 13 18  5  9  4  4  9 17 15 18 21  3  5 15  9 15  2  3 19  5  9  3
  9  3  5  5  4  1  6  5  4  0  3  5  5  1  5 18  4  4  4  5  5  3  1 15
  0 14 10 12  3 21 21 18  5  9 18  4  9  5  9  1  1 17  5  0 13 10  3 18
  5  3  3  4  0  8  7  5 18 18 21  4  9  5  4 13  1 13  5  3  1 18  5  9
 15 10 16 18  1  3  1 14 13  9  2  9  9 13  2 10  2  3  0 14  1 10 13  8
  4  4 19  4  6  6  5 10 12  1 11  5  9 14 16  3  4  8  5 18  4  4 21 19
 18 19 13 13 21 14  4 14 21  5  4  4  5  1  1  3 21 21  4  4  4  5  4  5
  3  4  3  4  4  4  7  5 21  5 11 14 17 14  9 14  4]",1.6254501342773438,22,2,0.0632688927943761,0.010853468719870439
3,cancer,MM,complete,0,"[ 3  3  3 14  3 11  3 14 11 11  9  6  3  1 11 14  9  6  5 11 17 16  1  5
  3  3 14  3  6  3  3 14  3  3  6  6  1 17  1 11 11 14  3 14 11  3  8 11
 14 11 14 11 14  3 12 14  3  1 17  8 16  8 14  8 14 14 16  7  8 17  3  8
  3  1 17  6 17  3  3 17 14 17  5  3 14  3  1  3 17  1  1  1 14 11 12  3
 14 16 14  1 14  8 14 16 16 14 14 14  5 14 16 14 11 16  8 14  8 12  6  3
 14  3  5  1 17 11 14  3  1  3 14  9  9  1  3 17 14  7  1  7 16  6 14 17
  7 14 14  1  1 11 17  8 16  7 11 14  3 12 14  7 14  3  3 14  5  1 10  6
  3  1 14 14 12 10 10  8 16 12 17 17 18  3  6  7  1 10  3 14 14 14  1 17
 16 11  1 17  1  3  3  1 17  3  5  9 15  1 16  6 17  1  3 14 20 12  1 11
 14 16  3  5 11 11 16 12 11 14 16  1 17 11  6  7  7  3 16 11  5  3  1  3
 11 14  7 11  3 16 17 17  7 14  3 14  3  6  3  1  3  1  6 12  3  6  3 12
  3 13 10 11 17 10 11  7  5 16  3 14  7  3 11 11  3 14  3 12 17 17 14 17
  7  7  1  1 17 14 17 11 10 14  1 16  3 14  3 16 14  7 17  8 11 11 14  1
 17  7  8 14 14  3  8 14 16  3 17  3 17 17 11 14  9 12 12 17  7  7 14  3
 17  3 16  5  1 16  7  3 14 16 14  1  7 14 14  1 18 12  7 14 17 11  8 16
 17 17 17 12 11  3  3 17 13  5  9  1  3  3 11  1 16 11 11  7  7  7 14 17
 17  1 14 11  7  3 16  8  6  3 14 11 11 17  7 14  3 14 17 17 14  7 12 17
  3 17 14  7  8  1  1 14 16  3 17  7 14  1  7 11 16 16 10  7  7 17  1 14
  3  3  1 14 17 11 11 11  7  3 11 16  3 14  3  1  1  3 14  3 14  1 17 11
 14 17 17 16  3  4  1 14 11 11 11 16  3 14 16 14  1 14  7 17  1 11  7 12
 14  1 11 11  1 17  1  3 14 12 17  3  3 14 17  1 17 17  3  3  1  1 14  5
  8 16 14 10  1  1 14  1 14  1  1  7  3  3 15 17 16  5  7 11 16  8 11 14
 11 14 14 14 11  3 10  3 11 14  8  8  7  1  1 17 11 11 16 16 16  7 10  7
 17  8 17 16 16 16  1  7 11  7  1  3  3  3  9  3  8]",45776.72797489166,18,2,0.070298769771529,0.009930486593843098
4,cancer,Voting,complete,0,"[1 1 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1 0
 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
 0 1 0 1 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0
 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 0 1
 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1
 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0
 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 1 1 0 1 0]",0.09822940826416016,2,2,0.14586994727592267,0.12820302648171503
5,cancer,Graph,complete,0,"[ 6  0  6 20  7 13  9 11  1 17  7  0  6 15 12 14  0  7  3  6 19 20 18  3
  0  0 20  0  7  0  9 12  7  5  7 10 13  6 15 20  1 14  9 11 18  9 18  2
 12 20  2  1  1 10 11 16  0 14 17 18 12 21  4 17 11  7 17 21 21  1  6 18
  9 18  8  7 10 10  5 20  8 11  3  9 11 10 15  9 18 11 14 12 13 12 15  6
  1 12 17 14 12 17 11 14 12  6 12  4  3 18 17  2 12 21 17  2 16 17  0  0
  2 10  3 20  6 18  4 10 20  9 16  7  0 15  9  8 16  1 21 11 16  7 12  1
 11 14 10 18 11 16  2 17 21 21  6 16  0 11 19 14  2  9  0 18  3 19 21  0
 10 12 14  7 17 16  1 17 19 15 11  2  3  0  4 16 20  1  9 14  8 18 11  2
 21 13 11  8 15  0 10 15 19  4  3  7  4 11 16  7 19 11  5  8  3 13 19 12
  4 16  0  3 11  6 21 17 20 18 16 20  1 17  7 16  2  5 19 13  3  5 15 10
 20 19  1 11 10 14  7 16  4 11  0 10  5  0  0 11  5 15  7 11  5  0  6 15
 10  3 16 20  1  8 20  2  3 16  0 13  8  0 13  1  5 11  9 15  2 19  4 13
 10 16 11 21  1 11  8 12 21  8 11 18  0  1  5 13 19  8  1 19  1  1  4 13
  1 18 19 19  1  9 21 14 16  6  8  0 19  2 12 10  0 13 12 16 16  8  4  0
 19  5 21  3 13 12 16  9 12 19 14 11 16  4 12 15  3 18 10 19 16 13 21 12
  8 16  4 13  2  5  5  8  3  3  7 15  5  0 20 12 16 13 12  8  8  2 19  8
 16 15  1 12  8  9 19 17  0  0  8  4 12  6 18  8  0  2  2 19  1  2 13  4
  9  1  2 11 21 15 12  6 20  9  8  8 13 11  8 13 19 19  1  1  6 19 13  8
  9  9 11 13  8 16  2 12  1  9 13 19  0  2  0 11 18  0 14  4  2 12 19  1
  8  8 16 19  9  3 15  8 12  7 20 14  9  1 17  1 12 14 16  4 19 14  8 12
 16 19  2 13 12  2 11  6 19 17 16  9  9  2  8 15 16 19 10  5 11 13  1  3
 16 13  2 21 11 13  2 13 11 13 11  8  9  5 13  1 19  3  1 13 13 19 12  2
 13  2  1  1 13  5  8  5 12  2 19 19  8 13 12  8 20  2 16 13 12  8  4  2
  2 16  2 13 16 14 19  2  2  1 21  5  0  5  0  6 17]",7.874587774276733,22,2,0.12302284710017575,0.02106138956668383
6,wine,GMM_MCA,complete,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",9.032057762145996,1,3,0.33146067415730335,0.1659634317862166
7,wine,GMM_Voting,complete,0,"[0 0 1 1 6 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 6 6 0 0 1 1 1 1 1 0 1 1 0 1 0 1 1
 0 0 6 6 0 0 6 1 0 0 0 0 1 0 1 1 1 0 0 0 1 1 3 6 3 6 3 3 6 3 3 6 6 1 3 3 0
 1 3 3 3 6 3 3 6 6 3 3 3 3 2 6 6 3 3 3 3 3 1 6 3 6 3 6 2 3 3 6 3 3 3 3 6 2
 3 2 3 3 3 3 3 3 2 6 3 3 3 3 3 3 3 3 2 6 3 2 2 6 6 6 3 2 2 2 6 3 2 1 1 3 6
 6 2 3 3 3 6 6 6 3 1 6 6 3 6 2 6 6 3 6 6 6 6 3 3 6 6 6 1 1 2]",1.1006948947906494,5,3,0.19662921348314608,0.17899540494875965
8,wine,GMM_Pair,complete,0,"[2 2 1 4 7 4 1 1 2 2 4 1 1 3 4 1 1 2 4 3 0 0 2 2 3 3 1 1 3 2 1 4 2 1 2 3 3
 2 2 0 0 2 2 7 3 2 2 2 2 1 3 1 1 1 2 2 2 1 1 5 0 5 7 5 5 7 5 5 0 7 3 5 5 2
 3 5 5 5 0 5 5 7 7 5 5 5 5 5 7 7 5 5 5 5 5 3 7 5 7 5 7 5 5 5 7 5 5 5 5 7 5
 5 6 5 5 5 5 5 5 5 7 5 5 5 5 5 5 5 5 6 7 5 5 6 7 7 7 5 6 6 6 0 5 5 3 3 5 7
 7 5 5 5 5 7 7 7 5 3 7 7 5 7 5 7 7 5 7 7 0 7 5 5 7 7 0 3 3 5]",0.13164544105529785,8,3,0.02247191011235955,0.014492753623188408
9,wine,MM,complete,0,"[7 7 2 7 8 7 2 2 7 7 7 2 2 7 7 2 2 7 7 4 4 4 7 7 4 4 2 2 4 7 2 7 7 2 7 4 4
 7 7 4 4 7 7 8 4 7 7 7 7 2 7 2 2 2 7 7 7 2 2 6 8 6 5 6 6 8 6 6 4 8 4 6 6 7
 4 6 6 6 4 6 6 8 5 6 6 6 6 3 8 5 6 6 6 6 6 7 5 6 8 6 8 3 6 6 8 6 6 6 6 8 3
 6 3 6 6 6 6 6 6 3 5 6 6 6 6 6 6 6 6 3 5 6 3 3 5 8 8 6 3 3 3 4 6 3 4 4 6 5
 5 3 6 6 6 8 5 8 6 4 8 5 6 8 3 8 5 6 8 8 4 5 6 6 8 8 4 4 4 3]",989.1677613258362,7,3,0.0,0.0
